SequenceName	ClusterNumber
KEXV01004952|Brazil|Bahia|2015-01-15	-1
JN010244|Spain|2010-01-15	-1
KEXV01033252|Brazil|Ceara|2017-01-15	-1
KEXV01040479|Brazil|RioGrandeDoSul|2016-01-15	-1
KEXV01034524|Brazil|MinasGerais|2016-01-15	-1
EU552946|Romania|2003-01-15	-1
KEXV01044032|Brazil|SaoPaulo|2016-01-15	-1
KT284517|Turkey|2015-01-15	-1
KEXV01005065|Brazil|Ceara|2015-01-15	-1
KEXV01042850|Brazil|SaoPaulo|2015-01-15	-1
AY643205|Brazil|SaoPaulo|2001-01-15	-1
KY640032|Brazil|SaoPaulo|2015-01-15	113
KEXV01043195|Brazil|SaoPaulo|2016-01-15	-1
KEXV01036000|Brazil|Para|2016-01-15	239
KJ194708|Romania|2011-01-15	-1
GQ400359|Poland|2004-01-15	-1
KEXV01040004|Brazil|RioGrandeDoNorte|2017-01-15	-1
EU553233|Romania|2006-01-15	378
KEXV01044253|Brazil|SaoPaulo|2016-01-15	-1
KEXV01030950|Brazil|Parana|2015-01-15	-1
KEXV01008496|Brazil|RioDeJaneiro|2015-01-15	-1
EU553153|Romania|2005-01-15	344
KEXV01035572|Brazil|MatoGrossoDoSul|2016-01-15	282
KJ635947|Cyprus|2010-01-15	-1
MF545197|Brazil|MatoGrossoDoSul|2011-01-15	-1
KEXV01005161|Brazil|Ceara|2015-01-15	-1
KEXV01045820|Brazil|SaoPaulo|2017-01-15	-1
EU553074|Romania|2004-01-15	-1
MT417763|BE|2019-01-15	291
KX159043|Romania|2014-01-15	-1
HM025098|Brazil|SaoPaulo|2006-01-15	256
JN196018|Brazil|SaoPaulo|SaoPaulo|2010-01-15	88
MN908890|China|2012-01-15	-1
EU553201|Romania|2005-01-15	-1
EU553249|Romania|2006-01-15	327
EU553169|Romania|2005-01-15	-1
JQ083028|Romania|2007-01-15	173
KEXV01030912|Brazil|Parana|2015-01-15	135
HM025062|Brazil|SaoPaulo|2006-01-15	-1
KEXV01008342|Brazil|RioDeJaneiro|2014-01-15	-1
JX460475|UnitedStates|2010-01-15	-1
EU553089|Romania|2004-01-15	-1
KEXV01043718|Brazil|SaoPaulo|2016-01-15	-1
MN236317|Brazil|SaoPaulo|2014-01-15	-1
KEXV01043180|Brazil|SaoPaulo|2016-01-15	-1
HM534056|Brazil|SaoPaulo|2009-01-15	-1
KEXV01029539|Brazil|Para|2015-01-15	-1
KX838562|Brazil|SaoPaulo|2015-01-15	132
FJ591223|Brazil|Parana|2004-01-15	-1
KEXV01039378|Brazil|RioDeJaneiro|2017-01-15	-1
HM102348|Portugal|2004-01-15	-1
EU553042|Romania|2003-01-15	360
KJ883130|Spain|2013-01-15	-1
KEXV01007410|Brazil|MinasGerais|2015-01-15	67
KEXV01033627|Brazil|EspiritoSanto|2016-01-15	-1
KEXV01045105|Brazil|SaoPaulo|2017-01-15	-1
KEXV01036403|Brazil|Para|2017-01-15	-1
KX159011|Romania|2013-01-15	-1
KJ395655|CapeVerde|2010-01-15	-1
KEXV01039117|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01007258|Brazil|MinasGerais|2015-01-15	139
KEXV01029636|Brazil|Pernambuco|2015-01-15	-1
MF109526|UnitedKingdom|2014-01-15	353
KEXV01035489|Brazil|MinasGerais|2017-01-15	-1
KEXV01012352|Brazil|RioGrandeDoNorte|2015-01-15	-1
KJ395661|CapeVerde|2010-01-15	-1
JX300779|Romania|2007-01-15	302
KEXV01035609|Brazil|MatoGrossoDoSul|2017-01-15	-1
KEXV01002519|Brazil|DistritoFederal|2015-01-15	-1
KEXV01045988|Brazil|SaoPaulo|2017-01-15	-1
KEXV01036148|Brazil|Para|2016-01-15	-1
HM534167|Brazil|SaoPaulo|2009-01-15	-1
KEXV01039333|Brazil|RioDeJaneiro|2017-01-15	-1
JX460243|UnitedStates|2009-01-15	-1
KEXV01037796|Brazil|Parana|2016-01-15	-1
MN528365|Brazil|Para|2015-01-15	46
EU553058|Romania|2003-01-15	342
KEXV01042976|Brazil|SaoPaulo|2016-01-15	-1
KEXV01034073|Brazil|Goias|2017-01-15	-1
EF120355|Argentina|2003-01-15	-1
MN509149|Brazil|Goias|2014-01-15	-1
JN937113|Angola|2010-01-15	-1
KEXV01045216|Brazil|SaoPaulo|2017-01-15	-1
KEXV01007267|Brazil|MinasGerais|2015-01-15	-1
KJ194783|Romania|2012-01-15	-1
KEXV01016216|Brazil|SaoPaulo|2015-01-15	-1
KEXV01033516|Brazil|DistritoFederal|2017-01-15	-1
EU068397|Angola|2001-01-15	-1
MT741464|FrenchGuiana|2015-01-15	9
KEXV01038032|Brazil|Parana|2017-01-15	-1
HM025194|Brazil|SaoPaulo|2006-01-15	-1
KEXV01039669|Brazil|RioDeJaneiro|2017-01-15	-1
HM024775|Brazil|SaoPaulo|2005-01-15	245
KEXV01045678|Brazil|SaoPaulo|2017-01-15	-1
KEXV01032666|Brazil|Bahia|2017-01-15	-1
AY771447|Brazil|SaoPaulo|SaoPaulo|1999-01-15	-1
HM534188|Brazil|SaoPaulo|2009-01-15	-1
KEXV01042997|Brazil|SaoPaulo|2016-01-15	-1
KJ194799|Romania|2012-01-15	-1
KEXV01036509|Brazil|Paraiba|2016-01-15	-1
MG365766|Brazil|RioDeJaneiro|2011-01-15	-1
KP231390|Romania|2013-01-15	-1
KEXV01031493|Brazil|Alagoas|2017-01-15	-1
MN236249|Brazil|SaoPaulo|2014-01-15	-1
KEXV01007548|Brazil|MinasGerais|2015-01-15	-1
JQ083027|Romania|2008-01-15	-1
KEXV01042887|Brazil|SaoPaulo|2016-01-15	-1
KEXV01032724|Brazil|Bahia|2017-01-15	-1
FJ591678|Brazil|RioDeJaneiro|2006-01-15	-1
KEXV01045863|Brazil|SaoPaulo|2017-01-15	-1
KEXV01039411|Brazil|RioDeJaneiro|2017-01-15	-1
AY643226|Brazil|SaoPaulo|2002-01-15	-1
KEXV01031973|Brazil|Amapa|2017-01-15	-1
KEXV01007285|Brazil|MinasGerais|2015-01-15	76
KEXV01043614|Brazil|SaoPaulo|2016-01-15	-1
MN236213|Brazil|SaoPaulo|2014-01-15	124
KEXV01039097|Brazil|RioDeJaneiro|2017-01-15	-1
EU553121|Romania|2005-01-15	-1
KEXV01004973|Brazil|Bahia|2015-01-15	-1
KEXV01034111|Brazil|Goias|2017-01-15	-1
MN236139|Brazil|SaoPaulo|2014-01-15	-1
KEXV01035640|Brazil|MatoGrossoDoSul|2017-01-15	-1
MN528211|Brazil|Amapa|2013-01-15	-1
MN236648|Brazil|SaoPaulo|2015-01-15	160
KEXV01035304|Brazil|MinasGerais|2017-01-15	-1
JN195901|Brazil|SaoPaulo|SaoPaulo|2006-01-15	-1
KX838708|Brazil|SaoPaulo|2014-01-15	-1
MN178934|DemocraticRepublicCongo|2008-01-15	-1
KEXV01034719|Brazil|MinasGerais|2016-01-15	-1
JQ083071|Romania|2007-01-15	302
ON989301|CY|2018-01-15	-1
KEXV01014504|Brazil|SaoPaulo|2014-01-15	-1
KJ395695|CapeVerde|2011-01-15	-1
JQ280929|Romania|2003-01-15	313
KEXV01037322|Brazil|Pernambuco|2017-01-15	-1
KEXV01034698|Brazil|MinasGerais|2016-01-15	-1
EU553217|Romania|2006-01-15	347
HM024981|Brazil|SaoPaulo|2005-01-15	-1
AY999531|Brazil|SaoPaulo|SaoPaulo|1998-01-15	-1
EU553137|Romania|2005-01-15	320
KEXV01031167|Brazil|SantaCatarina|2015-01-15	-1
KJ883108|Spain|2012-01-15	-1
KEXV01037155|Brazil|Pernambuco|2017-01-15	-1
KEXV01008678|Brazil|RioDeJaneiro|2015-01-15	-1
HV0348|Brazil|Bahia|2015-06-30	4
KEXV01005144|Brazil|Ceara|2015-01-15	-1
MN509150|Brazil|Goias|2014-01-15	-1
KEXV01046206|Brazil|SaoPaulo|2017-01-15	-1
EU293506|Brazil|SaoPaulo|Santos|2006-01-15	-1
KEXV01045774|Brazil|SaoPaulo|2017-01-15	-1
MN236669|Brazil|SaoPaulo|2015-01-15	122
EU553010|Romania|2003-01-15	-1
MN237266|Brazil|SaoPaulo|2017-01-15	-1
EU552945|Romania|2005-01-15	-1
KEXV01015171|Brazil|SaoPaulo|2014-01-15	-1
MT571266|UnitedKingdom|2014-01-15	250
KEXV01016369|Brazil|SaoPaulo|2015-01-15	-1
KEXV01033875|Brazil|Goias|2016-01-15	-1
KEXV01045333|Brazil|SaoPaulo|2017-01-15	-1
KEXV01037245|Brazil|Pernambuco|2017-01-15	-1
MN237513|Brazil|SaoPaulo|2014-01-15	255
EU553105|Romania|2004-01-15	351
JX460496|UnitedStates|2010-01-15	-1
KEXV01038821|Brazil|RioDeJaneiro|2016-01-15	-1
KEXV01029585|Brazil|Para|2015-01-15	-1
JQ280915|Romania|2008-01-15	-1
KEXV01035105|Brazil|MinasGerais|2017-01-15	-1
MN179116|DemocraticRepublicCongo|2008-01-15	-1
KEXV01046317|Brazil|SaoPaulo|2017-01-15	-1
JN010237|Spain|2011-01-15	-1
EU553106|Romania|2004-01-15	-1
MN528452|Brazil|Para|Bragaca|2017-01-15	170
KEXV01039895|Brazil|RioGrandeDoNorte|2016-01-15	-1
EU553026|Romania|2003-01-15	355
KEXV01032098|Brazil|Bahia|2016-01-15	-1
KT737306|Brazil|Amapa|2014-01-15	-1
KJ194831|Romania|2013-01-15	-1
MF403313|Spain|2013-01-15	-1
MN237287|Brazil|SaoPaulo|2017-01-15	-1
KJ194751|Romania|2012-01-15	361
AY643212|Brazil|SaoPaulo|2002-01-15	178
KEXV01011507|Brazil|SaoPaulo|2014-01-15	89
MH673181|Brazil|Amazonas|2015-01-15	134
KEXV01007342|Brazil|MinasGerais|2015-01-15	-1
MK177745|Spain|2015-01-15	329
AY999511|Brazil|SaoPaulo|SaoPaulo|1998-01-15	-1
JN195823|Brazil|SaoPaulo|SaoPaulo|2002-01-15	-1
MN237177|Brazil|SaoPaulo|2017-01-15	-1
EF393862|Brazil|RioGrandeDoSul|2005-01-15	-1
KX838818|Brazil|SaoPaulo|2015-01-15	215
KEXV01008708|Brazil|RioDeJaneiro|2015-01-15	13
KEXV01039515|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01045244|Brazil|SaoPaulo|2017-01-15	-1
KEXV01031221|Brazil|SantaCatarina|2015-01-15	-1
KEXV01029562|Brazil|Para|2015-01-15	-1
KEXV01035971|Brazil|Para|2016-01-15	-1
KEXV01034513|Brazil|MinasGerais|2016-01-15	-1
MN236330|Brazil|SaoPaulo|2014-01-15	-1
KJ194767|Romania|2012-01-15	-1
KEXV01038091|Brazil|Parana|2017-01-15	-1
EU258087|Brazil|SaoPaulo|2005-01-15	-1
KEXV01042628|Brazil|SantaCatarina|2017-01-15	-1
KJ194720|Romania|2011-01-15	-1
KEXV01042188|Brazil|SantaCatarina|2016-01-15	-1
JQ280895|Romania|2006-01-15	-1
HV0022|Brazil|Bahia|2014-08-26	268
MN237272|Brazil|SaoPaulo|2017-01-15	131
KP231406|Romania|2011-01-15	-1
KEXV01012249|Brazil|Paraiba|2015-01-15	-1
EU552973|Romania|2003-01-15	-1
KEXV01014547|Brazil|SaoPaulo|2014-01-15	-1
KEXV01007048|Brazil|MinasGerais|2014-01-15	-1
KEXV01044605|Brazil|SaoPaulo|2016-01-15	-1
KEXV01036063|Brazil|Para|2016-01-15	-1
KX648645|Zimbabwe|2014-01-15	-1
KEXV01036822|Brazil|Pernambuco|2016-01-15	-1
MH920415|DemocracticRepublicCongo|2016-01-15	-1
KY639968|Brazil|SaoPaulo|2014-01-15	137
MN237493|Brazil|SaoPaulo|2017-01-15	-1
OM856623|RU|2018-01-15	-1
MT570419|UnitedKingdom|2015-01-15	-1
KEXV01038053|Brazil|Parana|2017-01-15	-1
KEXV01014511|Brazil|SaoPaulo|2014-01-15	-1
EU189708|Brazil|SaoPaulo|2005-01-15	-1
AJ287042|France|1999-01-15	-1
EU553180|Romania|2005-01-15	351
EU032006|Romania|2006-01-15	351
KEXV01032745|Brazil|Bahia|2017-01-15	-1
KEXV01033800|Brazil|Goias|2016-01-15	239
EU068396|Angola|2001-01-15	-1
KT998121|FrenchGuiana|2009-01-15	12
KU685562|Spain|2014-01-15	354
EU032007|Romania|2006-01-15	351
KEXV01046836|Brazil|Tocantins|2017-01-15	-1
KEXV01033622|Brazil|EspiritoSanto|2016-01-15	-1
KEXV01016155|Brazil|SaoPaulo|2015-01-15	-1
KEXV01034773|Brazil|MinasGerais|2016-01-15	-1
KEXV01027481|Brazil|MatoGrossoDoSul|2014-01-15	-1
JQ280942|France|2005-01-15	-1
KP231389|Romania|2013-01-15	-1
KEXV01036912|Brazil|Pernambuco|2016-01-15	-1
KEXV01037438|Brazil|Pernambuco|2017-01-15	-1
DQ899709|Brazil|RioDeJaneiro|SantoAntonioDePadua|2004-01-15	-1
MW489719|Italy|2014-01-15	-1
KT951031|Brazil|Bahia|VerificarCidade|2012-01-15	-1
JX300667|Romania|2007-01-15	310
MN178953|DemocraticRepublicCongo|2008-01-15	-1
KEXV01045045|Brazil|SaoPaulo|2017-01-15	-1
KEXV01042713|Brazil|SantaCatarina|2017-01-15	8
AY643248|Brazil|SaoPaulo|2003-01-15	-1
KEXV01043127|Brazil|SaoPaulo|2016-01-15	-1
EU553196|Romania|2005-01-15	-1
JQ083055|Romania|2007-01-15	-1
KEXV01046103|Brazil|SaoPaulo|2017-01-15	-1
KEXV01015804|Brazil|SaoPaulo|2015-01-15	-1
AF112897|Brazil|EspiritoSanto|Vitoria|1997-01-15	-1
KEXV01036040|Brazil|Para|2016-01-15	-1
KEXV01012558|Brazil|RioGrandeDoSul|2015-01-15	-1
KEXV01035019|Brazil|MinasGerais|2017-01-15	-1
KEXV01034468|Brazil|Maranhao|2017-01-15	-1
MN236021|Brazil|SaoPaulo|2014-01-15	-1
KEXV01033693|Brazil|EspiritoSanto|2017-01-15	-1
OL982323|Spain|2017-01-15	-1
KEXV01036466|Brazil|Para|2017-01-15	-1
KEXV01007050|Brazil|MinasGerais|2014-01-15	-1
KEXV01044406|Brazil|SaoPaulo|2016-01-15	-1
KEXV01004881|Brazil|Bahia|2015-01-15	-1
KEXV01011728|Brazil|SaoPaulo|2015-01-15	216
KEXV01034812|Brazil|MinasGerais|2016-01-15	-1
KEXV01040907|Brazil|RioGrandeDoSul|2016-01-15	-1
DQ899686|Brazil|RioDeJaneiro|2004-01-15	-1
MN237294|Brazil|SaoPaulo|2017-01-15	-1
MF545212|Brazil|MatoGrossoDoSul|2011-01-15	-1
KJ883110|Spain|2012-01-15	-1
KEXV01035487|Brazil|MinasGerais|2017-01-15	-1
KEXV01015915|Brazil|SaoPaulo|2015-01-15	-1
KEXV01035028|Brazil|MinasGerais|2017-01-15	-1
KEXV01029708|Brazil|Pernambuco|2015-01-15	-1
KEXV01038999|Brazil|RioDeJaneiro|2016-01-15	-1
MN236992|Brazil|SaoPaulo|2015-01-15	-1
KJ194687|Romania|2012-01-15	-1
KEXV01036004|Brazil|Para|2016-01-15	-1
KEXV01016361|Brazil|SaoPaulo|2015-01-15	-1
KEXV01036925|Brazil|Pernambuco|2016-01-15	-1
OL624905|Brazil|RioDeJaneiro|2005-01-15	-1
AF295281|Italy|1997-01-15	-1
KEXV01039835|Brazil|RioDeJaneiro|2017-01-15	-1
MN236299|Brazil|SaoPaulo|2014-01-15	159
KJ194814|Romania|2013-01-15	-1
JX301047|Romania|2007-01-15	-1
KEXV01031357|Brazil|RioDeJaneiro|2015-01-15	-1
KEXV01043002|Brazil|SaoPaulo|2016-01-15	-1
KT737327|Brazil|Amapa|2014-01-15	-1
KEXV01043333|Brazil|SaoPaulo|2016-01-15	-1
OL624899|Brazil|RioDeJaneiro|2003-01-15	-1
KJ194815|Romania|2013-01-15	-1
KJ194735|Romania|2012-01-15	299
KEXV01015605|Brazil|SaoPaulo|2015-01-15	-1
MW489731|Italy|2015-01-15	-1
KEXV01011713|Brazil|SaoPaulo|2015-01-15	266
GQ398928|Italy|2003-01-15	-1
KX357282|Brazil|RioDeJaneiro|NovaIguacu|2013-01-15	53
HM191565|Romania|2003-01-15	-1
KEXV01035309|Brazil|MinasGerais|2017-01-15	-1
KEXV01036848|Brazil|Pernambuco|2016-01-15	287
KEXV01031312|Brazil|RioDeJaneiro|2015-01-15	-1
MK177663|Spain|2014-01-15	337
JX299571|Romania|2007-01-15	310
KEXV01035636|Brazil|MatoGrossoDoSul|2017-01-15	-1
FJ591626|Brazil|RioDeJaneiro|2004-01-15	-1
EU189715|Brazil|SaoPaulo|2005-01-15	-1
KEXV01015207|Brazil|SaoPaulo|2014-01-15	-1
KEXV01008889|Brazil|RioDeJaneiro|2015-01-15	-1
KEXV01007123|Brazil|MinasGerais|2014-01-15	-1
KP115437|Brazil|SaoPaulo|2014-01-15	-1
KJ194703|Romania|2011-01-15	-1
KEXV01015716|Brazil|SaoPaulo|2015-01-15	-1
EU248532|Belgium|2003-01-15	-1
FJ548805|Brazil|Goias|Goiania|2007-01-15	-1
KEXV01046661|Brazil|SaoPaulo|2017-01-15	-1
KEXV01035965|Brazil|Para|2016-01-15	-1
KEXV01031817|Brazil|Amazonas|2017-01-15	-1
JN114182|Brazil|Goias|Goiania|2009-01-15	-1
MN236462|Brazil|SaoPaulo|2015-01-15	181
KEXV01046256|Brazil|SaoPaulo|2017-01-15	-1
KEXV01007329|Brazil|MinasGerais|2015-01-15	-1
MK177735|Spain|2015-01-15	329
KEXV01035055|Brazil|MinasGerais|2017-01-15	-1
MF403297|Spain|Valencia|2013-01-15	82
MG365854|Brazil|RioDeJaneiro|2012-01-15	-1
KEXV01046220|Brazil|SaoPaulo|2017-01-15	-1
EU552957|Romania|2003-01-15	223
MN236683|Brazil|SaoPaulo|2015-01-15	-1
KEXV01012522|Brazil|RioGrandeDoSul|2015-01-15	-1
KEXV01007132|Brazil|MinasGerais|2014-01-15	-1
KJ194795|Romania|2011-01-15	280
KEXV01015302|Brazil|SaoPaulo|2014-01-15	-1
KJ194719|Romania|2011-01-15	-1
KEXV01035281|Brazil|MinasGerais|2017-01-15	-1
KEXV01035327|Brazil|MinasGerais|2017-01-15	-1
KJ883100|Spain|2011-01-15	373
KEXV01039125|Brazil|RioDeJaneiro|2017-01-15	163
KEXV01015811|Brazil|SaoPaulo|2015-01-15	-1
KEXV01012181|Brazil|MatoGrosso|2015-01-15	-1
EU553244|Romania|2006-01-15	351
JN195964|Brazil|SaoPaulo|SaoPaulo|2008-01-15	-1
AY275750|Brazil|RioGrandeDoSul|2002-01-15	-1
KJ883085|Spain|2011-01-15	-1
EU553164|Romania|2005-01-15	-1
KEXV01036633|Brazil|Paraiba|2017-01-15	-1
KEXV01002659|Brazil|Goias|2015-01-15	12
GQ240998|Spain|2007-01-15	-1
EU553084|Romania|2004-01-15	-1
EU189700|Brazil|SaoPaulo|2005-01-15	-1
EU068412|Angola|2001-01-15	285
EU553085|Romania|2004-01-15	-1
KEXV01043596|Brazil|SaoPaulo|2016-01-15	-1
KEXV01015958|Brazil|SaoPaulo|2015-01-15	-1
KEXV01046572|Brazil|SaoPaulo|2017-01-15	-1
KEXV01011735|Brazil|SaoPaulo|2015-01-15	249
KJ883147|Spain|2010-01-15	309
GQ241093|Spain|2006-01-15	264
KEXV01034968|Brazil|MinasGerais|2016-01-15	-1
KEXV01032595|Brazil|Bahia|2017-01-15	-1
KEXV01007347|Brazil|MinasGerais|2015-01-15	-1
KP115465|Brazil|SaoPaulo|2013-01-15	-1
JQ280924|Romania|2002-01-15	-1
KEXV01037001|Brazil|Pernambuco|2016-01-15	-1
KEXV01032025|Brazil|Amapa|2017-01-15	-1
JQ083039|Romania|2007-01-15	-1
KJ635973|Cyprus|2011-01-15	-1
KEXV01046793|Brazil|SaoPaulo|2017-01-15	-1
AB485658|Romania|1996-01-15	305
KEXV01038040|Brazil|Parana|2017-01-15	-1
MN236594|Brazil|SaoPaulo|2015-01-15	304
DQ877955|France|2003-01-15	-1
KEXV01040361|Brazil|RioGrandeDoSul|2016-01-15	-1
AY643240|Brazil|SaoPaulo|2003-01-15	-1
FJ591404|Brazil|Parana|2005-01-15	-1
KJ883129|Spain|2013-01-15	-1
KEXV01012261|Brazil|Paraiba|2015-01-15	-1
JF342291|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15	108
EU553053|Romania|2003-01-15	-1
KEXV01039868|Brazil|RioGrandeDoNorte|2016-01-15	-1
KEXV01031404|Brazil|Alagoas|2016-01-15	-1
KEXV01029873|Brazil|Roraima|2015-01-15	-1
OL982311|Spain|2010-01-15	-1
KEXV01029730|Brazil|Pernambuco|2015-01-15	-1
KEXV01044103|Brazil|SaoPaulo|2016-01-15	-1
AY876965|Brazil|SaoPaulo|2000-01-15	-1
KEXV01039915|Brazil|RioGrandeDoNorte|2016-01-15	-1
KEXV01037407|Brazil|Pernambuco|2017-01-15	-1
KEXV01015943|Brazil|SaoPaulo|2015-01-15	-1
MW489807|IT|2018-01-15	372
JQ280910|Romania|2007-01-15	-1
AY365724|Argentina|2001-01-15	-1
KEXV01007365|Brazil|MinasGerais|2015-01-15	-1
MK177725|Spain|2014-01-15	329
KEXV01035091|Brazil|MinasGerais|2017-01-15	-1
EU553069|Romania|2003-01-15	364
KEXV01034769|Brazil|MinasGerais|2016-01-15	-1
KEXV01043471|Brazil|SaoPaulo|2016-01-15	-1
GQ401318|Brazil|SantaCatarina|2007-01-15	-1
MT741468|FrenchGuiana|2016-01-15	-1
KEXV01037398|Brazil|Pernambuco|2017-01-15	-1
JX299627|Luxembourg|2006-01-15	-1
KX838853|Brazil|SaoPaulo|2015-01-15	-1
MF403324|Spain|2012-01-15	82
KX888302|Brazil|EspiritoSanto|2015-01-15	-1
KEXV01042152|Brazil|SantaCatarina|2016-01-15	-1
KEXV01032120|Brazil|Bahia|2016-01-15	-1
KJ194794|Romania|2012-01-15	-1
GU288812|Brazil|SaoPaulo|2004-01-15	84
HM102346|Portugal|2003-01-15	-1
KC340419|Spain|2009-01-15	303
EU189722|Brazil|SaoPaulo|2005-01-15	-1
KEXV01037014|Brazil|Pernambuco|2016-01-15	7
KEXV01031069|Brazil|SantaCatarina|2015-01-15	187
KEXV01046263|Brazil|SaoPaulo|2017-01-15	294
HM025525|Brazil|SaoPaulo|2008-01-15	-1
KEXV01034193|Brazil|Maranhao|2016-01-15	128
AY359518|Italy|2000-01-15	-1
KEXV01002660|Brazil|Goias|2015-01-15	-1
MN235976|Brazil|SaoPaulo|2014-01-15	177
KEXV01044676|Brazil|SaoPaulo|2016-01-15	-1
DQ878750|Italy|2003-01-15	-1
KEXV01043251|Brazil|SaoPaulo|2016-01-15	-1
KEXV01015523|Brazil|SaoPaulo|2015-01-15	-1
MT741454|FrenchGuiana|2010-01-15	9
KC340129|Spain|2007-01-15	252
KEXV01004902|Brazil|Bahia|2015-01-15	-1
JN195874|Brazil|SaoPaulo|SaoPaulo|2005-01-15	175
HM024935|Brazil|SaoPaulo|2005-01-15	-1
KEXV01038348|Brazil|RioDeJaneiro|2016-01-15	238
HV0119|Brazil|Bahia|2014-12-12	90
EU553259|Romania|2007-01-15	363
KJ194763|Romania|2011-01-15	-1
KEXV01008903|Brazil|RioDeJaneiro|2015-01-15	-1
KM283977|Poland|2013-01-15	-1
EU553212|Romania|2006-01-15	-1
KEXV01035402|Brazil|MinasGerais|2017-01-15	-1
KEXV01007413|Brazil|MinasGerais|2015-01-15	-1
EU553132|Romania|2005-01-15	380
MN237370|Brazil|SaoPaulo|2014-01-15	-1
KEXV01036885|Brazil|Pernambuco|2016-01-15	-1
KJ883119|Spain|2012-01-15	-1
MW489637|Italy|2014-01-15	-1
AF204048|Romania|1997-01-15	-1
KEXV01034771|Brazil|MinasGerais|2016-01-15	-1
KEXV01011316|Brazil|Piaui|2016-01-15	-1
KP231402|Romania|2010-01-15	-1
MN179001|DemocraticRepublicCongo|2008-01-15	-1
KEXV01036414|Brazil|Para|2017-01-15	-1
LC163228|Japan|2015-01-15	-1
KEXV01037027|Brazil|Pernambuco|2016-01-15	-1
KEXV01035603|Brazil|MatoGrossoDoSul|2017-01-15	-1
EU552940|Romania|2005-01-15	-1
EU189701|Brazil|SaoPaulo|2006-01-15	-1
KEXV01044587|Brazil|SaoPaulo|2016-01-15	-1
KEXV01032445|Brazil|Bahia|2016-01-15	90
MF545208|Brazil|MatoGrossoDoSul|2011-01-15	-1
KX159022|Romania|2014-01-15	-1
JX299694|Romania|2007-01-15	-1
MN237033|Brazil|SaoPaulo|2015-01-15	-1
FJ525819|Argentina|2006-01-15	-1
EU553228|Romania|2006-01-15	-1
KEXV01038687|Brazil|RioDeJaneiro|2016-01-15	62
EU553100|Romania|2004-01-15	357
EU553148|Romania|2005-01-15	-1
KEXV01032749|Brazil|Bahia|2017-01-15	-1
FJ771006|Brazil|SaoPaulo|2002-01-15	-1
KEXV01035521|Brazil|MatoGrossoDoSul|2016-01-15	-1
KY640146|Brazil|SaoPaulo|2015-01-15	278
JN010248|Spain|2011-01-15	-1
EU553101|Romania|2004-01-15	-1
KP231385|Romania|2012-01-15	-1
EU553271|Romania|2005-01-15	-1
KEXV01008716|Brazil|RioDeJaneiro|2015-01-15	-1
EU553021|Romania|2003-01-15	333
MF403314|Spain|2011-01-15	325
KEXV01035754|Brazil|MatoGrosso|2016-01-15	114
KEXV01033615|Brazil|EspiritoSanto|2016-01-15	-1
KEXV01046195|Brazil|SaoPaulo|2017-01-15	-1
KEXV01012208|Brazil|Paraiba|2014-01-15	-1
KEXV01011689|Brazil|SaoPaulo|2015-01-15	-1
KX159038|Romania|2014-01-15	-1
KEXV01038377|Brazil|RioDeJaneiro|2016-01-15	-1
KEXV01034835|Brazil|MinasGerais|2016-01-15	-1
KEXV01015545|Brazil|SaoPaulo|2015-01-15	-1
KEXV01032008|Brazil|Amapa|2017-01-15	-1
KEXV01045529|Brazil|SaoPaulo|2017-01-15	-1
DQ877904|Switzerland|2003-01-15	-1
KEXV01037264|Brazil|Pernambuco|2017-01-15	-1
EU553037|Romania|2003-01-15	189
HV0406|Brazil|Bahia|2015-08-28	4
MN236719|Brazil|SaoPaulo|2015-01-15	-1
EU068411|Angola|2001-01-15	-1
KEXV01044131|Brazil|SaoPaulo|2016-01-15	-1
KJ883131|Spain|2013-01-15	373
KEXV01035769|Brazil|MatoGrosso|2016-01-15	114
KEXV01036988|Brazil|Pernambuco|2016-01-15	-1
KEXV01043294|Brazil|SaoPaulo|2016-01-15	204
KT203242|Brazil|Parana|Curitiba|2015-01-15	36
JQ280890|Romania|2006-01-15	-1
KEXV01044352|Brazil|SaoPaulo|2016-01-15	-1
KEXV01044683|Brazil|SaoPaulo|2016-01-15	-1
HM025066|Brazil|SaoPaulo|2006-01-15	-1
HM118103|Brazil|SaoPaulo|Santos|2006-01-15	289
MN237460|Brazil|SaoPaulo|2015-01-15	123
KEXV01037187|Brazil|Pernambuco|2017-01-15	-1
MN237055|Brazil|SaoPaulo|2015-01-15	-1
KEXV01009039|Brazil|RioDeJaneiro|2015-01-15	-1
KEXV01015278|Brazil|SaoPaulo|2014-01-15	-1
KEXV01038455|Brazil|RioDeJaneiro|2016-01-15	-1
KJ194778|Romania|2012-01-15	-1
HM118332|Brazil|SaoPaulo|Santos|2006-01-15	-1
HQ585048|Brazil|SaoPaulo|2006-01-15	-1
KX838771|Brazil|SaoPaulo|2015-01-15	-1
KEXV01036375|Brazil|Para|2017-01-15	-1
KEXV01039290|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01040254|Brazil|RioGrandeDoSul|2016-01-15	-1
KEXV01002643|Brazil|Goias|2015-01-15	-1
EU552984|Romania|2003-01-15	-1
EU032002|Romania|2006-01-15	351
MN236416|Brazil|SaoPaulo|2014-01-15	-1
MW489617|IT|2018-01-15	17
