** Cluster Picker Results **
Cluster Picker v 1.2.5
Input sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.fasta
Input tree =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.nwk
Initial support threshold=	90.0
Support threshold=	90.0
Genetic distance threshold=	0.03
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1ta_alnedited_subtypeF1_clusterPicks.fas
Output tree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk
Output figtree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk.figTree
-------------------------
There are	4493	sequences
Tree has	4493	tips
Found	381	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
158	2	2	[KEXV01011658|Brazil|SaoPaulo|2015-01-15, MN236547|Brazil|SaoPaulo|2015-01-15]	99.5	0.0
159	2	2	[KY639940|Brazil|SaoPaulo|2014-01-15, MN236299|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
160	3	3	[KY640126|Brazil|SaoPaulo|2015-01-15, KEXV01011758|Brazil|SaoPaulo|2015-01-15, MN236648|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
161	2	2	[MN971874|Brazil|Maranhao|2017-01-15, KEXV01034352|Brazil|Maranhao|2017-01-15]	97.4	0.0
162	2	2	[KEXV01011793|Brazil|SaoPaulo|2015-01-15, MN236694|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
163	2	2	[KEXV01038763|Brazil|RioDeJaneiro|2016-01-15, KEXV01039125|Brazil|RioDeJaneiro|2017-01-15]	97.9	0.023529411764705882
164	2	2	[KT737346|Brazil|Amapa|2014-01-15, KT737352|Brazil|Amapa|2014-01-15]	99.4	9.80392156862745E-4
165	2	2	[KEXV01032389|Brazil|Bahia|2016-01-15, KEXV01032603|Brazil|Bahia|2017-01-15]	100.0	0.004901960784313725
166	2	2	[KT998267|FrenchGuiana|2012-01-15, MT741456|FrenchGuiana|2012-01-15]	99.8	0.0
167	2	2	[KEXV01036039|Brazil|Para|2016-01-15, KX887699|Brazil|Para|2015-01-15]	93.2	0.016666666666666666
168	2	2	[KEXV01009178|Brazil|RioDeJaneiro|2016-01-15, KEXV01039473|Brazil|RioDeJaneiro|2017-01-15]	100.0	0.022549019607843137
169	2	2	[KEXV01045494|Brazil|SaoPaulo|2017-01-15, KEXV01046096|Brazil|SaoPaulo|2017-01-15]	95.5	0.020588235294117647
170	2	2	[MN528452|Brazil|Para|Bragaca|2017-01-15, MN528228|Brazil|Amapa|2015-01-15]	100.0	0.0
171	2	2	[KY639933|Brazil|SaoPaulo|2014-01-15, MN236282|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
172	2	2	[KEXV01016325|Brazil|SaoPaulo|2015-01-15, KEXV01043220|Brazil|SaoPaulo|2016-01-15]	97.1	0.029411764705882353
173	2	2	[JQ083028|Romania|2007-01-15, JX301102|Romania|2007-01-15]	98.9	0.00196078431372549
174	2	2	[HQ426898|Spain|2007-01-15, JF929061|Spain|2007-01-15]	100.0	0.020588235294117647
175	2	2	[JN195874|Brazil|SaoPaulo|SaoPaulo|2005-01-15, AY643251|Brazil|SaoPaulo|2003-01-15]	95.8	0.023529411764705882
176	2	2	[KEXV01011975|Brazil|SaoPaulo|2015-01-15, MN237433|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
177	2	2	[EU189717|Brazil|SaoPaulo|2005-01-15, MN235976|Brazil|SaoPaulo|2014-01-15]	99.9	0.018627450980392157
178	2	2	[AY643212|Brazil|SaoPaulo|2002-01-15, MN237526|Brazil|SaoPaulo|2016-01-15]	99.8	0.01568627450980392
179	2	2	[MN971881|Brazil|Maranhao|2016-01-15, KEXV01034286|Brazil|Maranhao|2016-01-15]	99.9	0.0
180	2	2	[KEXV01007511|Brazil|MinasGerais|2015-01-15, KEXV01045025|Brazil|SaoPaulo|2017-01-15]	94.7	0.023529411764705882
181	2	2	[KY639973|Brazil|SaoPaulo|2015-01-15, MN236462|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
182	2	2	[KEXV01011765|Brazil|SaoPaulo|2015-01-15, MN236658|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
183	2	2	[KEXV01011951|Brazil|SaoPaulo|2015-01-15, MN236863|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
184	2	2	[MT741467|FrenchGuiana|2016-01-15, MT741469|FrenchGuiana|2016-01-15]	100.0	0.021568627450980392
185	2	2	[KEXV01043702|Brazil|SaoPaulo|2016-01-15, KEXV01045732|Brazil|SaoPaulo|2017-01-15]	98.0	0.025490196078431372
186	2	2	[MN971887|Brazil|Maranhao|2016-01-15, KEXV01034191|Brazil|Maranhao|2016-01-15]	100.0	0.00980392156862745
187	3	3	[KEXV01031069|Brazil|SantaCatarina|2015-01-15, KEXV01031240|Brazil|SantaCatarina|2015-01-15, KEXV01042153|Brazil|SantaCatarina|2016-01-15]	99.9	0.029411764705882353
188	2	2	[KEXV01034752|Brazil|MinasGerais|2016-01-15, KEXV01034801|Brazil|MinasGerais|2016-01-15]	99.9	0.00980392156862745
189	2	2	[EU553037|Romania|2003-01-15, EU553229|Romania|2006-01-15]	99.9	0.0196078431372549
190	2	2	[AF204050|Romania|1997-01-15, HM191573|Romania|2004-01-15]	98.4	0.022549019607843137
191	2	2	[KEXV01036957|Brazil|Pernambuco|2016-01-15, KEXV01036963|Brazil|Pernambuco|2016-01-15]	90.1	0.021568627450980392
192	2	2	[GQ398920|Italy|2005-01-15, GQ399691|Italy|2004-01-15]	93.9	0.00392156862745098
193	2	2	[KEXV01011865|Brazil|SaoPaulo|2015-01-15, MN236774|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
194	2	2	[KEXV01006922|Brazil|MinasGerais|2014-01-15, KEXV01006927|Brazil|MinasGerais|2014-01-15]	100.0	0.00980392156862745
195	2	2	[KEXV01034957|Brazil|MinasGerais|2016-01-15, KEXV01035355|Brazil|MinasGerais|2017-01-15]	100.0	0.011764705882352941
196	2	2	[KEXV01044549|Brazil|SaoPaulo|2016-01-15, KEXV01046340|Brazil|SaoPaulo|2017-01-15]	99.6	0.028431372549019607
197	2	2	[KEXV01032117|Brazil|Bahia|2016-01-15, KEXV01032257|Brazil|Bahia|2016-01-15]	97.4	0.025490196078431372
198	2	2	[JQ083064|Romania|2007-01-15, JQ083065|Romania|2007-01-15]	99.1	0.011764705882352941
199	2	2	[JX300366|Romania|2007-01-15, KJ194793|Romania|2012-01-15]	99.1	0.022549019607843137
200	2	2	[EU189709|Brazil|SaoPaulo|2005-01-15, EU189748|Brazil|SaoPaulo|2006-01-15]	99.3	0.01568627450980392
201	2	2	[KEXV01004957|Brazil|Bahia|2015-01-15, KT951057|Brazil|Bahia|VerificarCidade|2012-01-15]	98.6	0.011764705882352941
202	2	2	[MN133161|Italy|2010-01-15, MN133163|Italy|2011-01-15]	100.0	0.00784313725490196
203	2	2	[KT203257|Brazil|Parana|Curitiba|2015-01-15, KT203258|Brazil|Parana|Curitiba|2015-01-15]	99.8	0.004901960784313725
204	2	2	[KEXV01035986|Brazil|Para|2016-01-15, KEXV01043294|Brazil|SaoPaulo|2016-01-15]	100.0	0.016666666666666666
205	2	2	[KY640101|Brazil|SaoPaulo|2014-01-15, MN237378|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
206	2	2	[JN114208|Brazil|Goias|Goiania|2010-01-15, KEXV01002626|Brazil|Goias|2015-01-15]	99.9	0.01764705882352941
207	4	4	[KY640037|Brazil|SaoPaulo|2015-01-15, KEXV01012006|Brazil|SaoPaulo|2015-01-15, MN236926|Brazil|SaoPaulo|2015-01-15, MN236867|Brazil|SaoPaulo|2015-01-15]	99.7	0.00196078431372549
208	3	3	[ON989270|CY|2018-01-15, ON989337|CY|2019-01-15, ON989274|CY|2018-01-15]	100.0	0.00784313725490196
209	2	2	[MN528220|Brazil|Amapa|2014-01-15, MN528221|Brazil|Amapa|2014-01-15]	100.0	0.0
210	2	2	[EU189727|Brazil|SaoPaulo|2006-01-15, AY643219|Brazil|SaoPaulo|2002-01-15]	99.6	0.011764705882352941
211	2	2	[KEXV01043853|Brazil|SaoPaulo|2016-01-15, KEXV01044487|Brazil|SaoPaulo|2016-01-15]	96.9	0.013725490196078431
212	2	2	[KEXV01012095|Brazil|MatoGrossoDoSul|2015-01-15, KEXV01035646|Brazil|MatoGrossoDoSul|2017-01-15]	100.0	0.014705882352941176
213	2	2	[KEXV01037272|Brazil|Pernambuco|2017-01-15, KEXV01037273|Brazil|Pernambuco|2017-01-15]	98.4	0.0196078431372549
214	2	2	[EU293509|Brazil|SaoPaulo|Santos|2006-01-15, HM118043|Brazil|SaoPaulo|Santos|2006-01-15]	92.5	0.0058823529411764705
215	2	2	[KEXV01043527|Brazil|SaoPaulo|2016-01-15, KX838818|Brazil|SaoPaulo|2015-01-15]	100.0	0.024509803921568627
216	3	3	[KEXV01011728|Brazil|SaoPaulo|2015-01-15, MN236610|Brazil|SaoPaulo|2015-01-15, MN237311|Brazil|SaoPaulo|2017-01-15]	94.8	0.018627450980392157
217	2	2	[KEXV01011515|Brazil|SaoPaulo|2014-01-15, MN236050|Brazil|SaoPaulo|2014-01-15]	97.9	0.01764705882352941
218	2	2	[KEXV01011805|Brazil|SaoPaulo|2015-01-15, MN236710|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
219	2	2	[MN971886|Brazil|Maranhao|2014-01-15, KEXV01034475|Brazil|Maranhao|2017-01-15]	96.2	0.013725490196078431
220	2	2	[KY640018|Brazil|SaoPaulo|2015-01-15, MN236738|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
221	2	2	[KEXV01033688|Brazil|EspiritoSanto|2017-01-15, KX888309|Brazil|EspiritoSanto|2015-01-15]	96.3	0.020588235294117647
222	2	2	[EU822584|Spain|2005-01-15, EU822585|Spain|2005-01-15]	99.0	0.023529411764705882
223	2	2	[EU552957|Romania|2003-01-15, EU553224|Romania|2006-01-15]	98.8	0.016666666666666666
224	2	2	[JQ083072|Romania|2008-01-15, JQ083074|Romania|2007-01-15]	99.3	0.018627450980392157
225	3	3	[GQ399041|Austria|2004-01-15, JQ280889|Romania|2006-01-15, JQ083031|Romania|2007-01-15]	90.4	0.027450980392156862
226	2	2	[JQ083056|Romania|2007-01-15, JQ083057|Romania|2007-01-15]	98.1	0.01764705882352941
227	2	2	[EU553218|Romania|2006-01-15, KX607062|Spain|2010-01-15]	93.9	0.024509803921568627
228	3	3	[JQ083060|Romania|2008-01-15, JQ083066|Romania|2007-01-15, KX159053|Romania|2014-01-15]	97.5	0.028431372549019607
229	2	2	[KY967236|Hungary|2016-01-15, MT571224|UnitedKingdom|2014-01-15]	99.3	0.013725490196078431
230	2	2	[KEXV01032750|Brazil|Bahia|2017-01-15, KT950988|Brazil|Bahia|VerificarCidade|2012-01-15]	100.0	0.01568627450980392
231	3	3	[MG942455|UnitedStates|2012-01-15, MG943639|UnitedStates|2016-01-15, OP655988|UnitedStates|2017-01-15]	98.8	0.025490196078431372
232	3	3	[KEXV01036667|Brazil|Pernambuco|2016-01-15, KEXV01036747|Brazil|Pernambuco|2016-01-15, KX838815|Brazil|SaoPaulo|2015-01-15]	95.7	0.022549019607843137
233	2	2	[KEXV01045616|Brazil|SaoPaulo|2017-01-15, MN236913|Brazil|SaoPaulo|2015-01-15]	96.2	0.029411764705882353
234	2	2	[EU189726|Brazil|SaoPaulo|2006-01-15, AY643235|Brazil|SaoPaulo|2003-01-15]	100.0	0.021568627450980392
235	2	2	[KY581414|Brazil|Bahia|2014-01-15, KEXV01007662|Brazil|Bahia|2014-01-15]	100.0	0.0
236	2	2	[HQ667668|Italy|2009-01-15, ON611651|Italy|2018-01-15]	95.9	0.016666666666666666
237	2	2	[MT788087|Italy|2015-01-15, MT788154|Italy|2016-01-15]	91.3	0.0058823529411764705
238	4	4	[KEXV01008592|Brazil|RioDeJaneiro|2015-01-15, KEXV01009028|Brazil|RioDeJaneiro|2015-01-15, KEXV01038465|Brazil|RioDeJaneiro|2016-01-15, KEXV01038348|Brazil|RioDeJaneiro|2016-01-15]	99.9	0.028431372549019607
239	2	2	[KEXV01033800|Brazil|Goias|2016-01-15, KEXV01036000|Brazil|Para|2016-01-15]	100.0	0.026470588235294117
240	2	2	[KY640154|Brazil|SaoPaulo|2014-01-15, MN237388|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
241	2	2	[KJ883136|Spain|2013-01-15, OM914690|Spain|2013-01-15]	93.7	0.0
242	5	5	[KJ883087|Spain|2011-01-15, MN014521|Spain|2014-01-15, KX534326|Spain|2016-01-15, KJ883088|Spain|2011-01-15, KJ883138|Spain|2011-01-15]	99.5	0.014705882352941176
243	8	8	[KEXV01033840|Brazil|Goias|2016-01-15, KEXV01034105|Brazil|Goias|2017-01-15, MN509119|Brazil|Goias|2014-01-15, MN509122|Brazil|Goias|2014-01-15, MT417748|Belgium|2017-01-15, MN509135|Brazil|Goias|2014-01-15, MN509165|Brazil|Goias|2014-01-15, MN509102|Brazil|Goias|2014-01-15]	97.8	0.029411764705882353
244	3	3	[EU552990|Romania|2003-01-15, EU553041|Romania|2003-01-15, EU553134|Romania|2005-01-15]	99.4	0.011764705882352941
245	4	4	[EF393860|Brazil|RioGrandeDoSul|2005-01-15, EU189744|Brazil|SaoPaulo|2005-01-15, HM024775|Brazil|SaoPaulo|2005-01-15, EF393958|Brazil|SantaCatarina|2006-01-15]	92.2	0.018627450980392157
246	2	2	[KY640110|Brazil|SaoPaulo|2015-01-15, MN237342|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
247	2	2	[KEXV01011721|Brazil|SaoPaulo|2015-01-15, MN236602|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
248	2	2	[KEXV01036843|Brazil|Pernambuco|2016-01-15, KEXV01036939|Brazil|Pernambuco|2016-01-15]	97.7	0.025490196078431372
249	2	2	[KEXV01011735|Brazil|SaoPaulo|2015-01-15, MN236620|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
250	16	16	[HV0079|Brazil|Bahia|2014-11-07, KX838821|Brazil|SaoPaulo|2015-01-15, MF403325|Spain|2012-01-15, MH471851|Germany|2013-01-15, MT787928|Italy|2013-01-15, MT788030|Italy|2014-01-15, MT417747|Belgium|2014-01-15, JX299937|Belgium|2007-01-15, KJ883116|Spain|2012-01-15, KEXV01033781|Brazil|Goias|2016-01-15, JX301158|Belgium|2007-01-15, KX759513|UnitedKingdom|2013-01-15, MH472512|Germany|2017-01-15, MN509156|Brazil|Goias|2014-01-15, MT571266|UnitedKingdom|2014-01-15, MT571267|UnitedKingdom|2014-01-15]	92.3	0.029411764705882353
251	2	2	[KC340133|Spain|2008-01-15, KC340134|Spain|2008-01-15]	99.9	0.011764705882352941
252	2	2	[KC340129|Spain|2007-01-15, KC340132|Spain|2007-01-15]	99.9	0.028431372549019607
253	2	2	[EU553027|Romania|2003-01-15, EU553045|Romania|2003-01-15]	100.0	0.00196078431372549
254	2	2	[KEXV01015815|Brazil|SaoPaulo|2015-01-15, KEXV01016296|Brazil|SaoPaulo|2015-01-15]	95.5	0.021568627450980392
255	2	2	[KEXV01011482|Brazil|SaoPaulo|2014-01-15, MN237513|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
256	2	2	[EU189728|Brazil|SaoPaulo|2006-01-15, HM025098|Brazil|SaoPaulo|2006-01-15]	100.0	0.00196078431372549
257	2	2	[KEXV01011604|Brazil|SaoPaulo|2015-01-15, MN237395|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
258	3	3	[JQ083023|Romania|2008-01-15, JX300462|Romania|2007-01-15, JQ083038|Romania|2007-01-15]	96.3	0.008823529411764706
259	4	4	[KJ636021|Cyprus|2012-01-15, KJ636022|Cyprus|2012-01-15, MT788233|Italy|2009-01-15, MT788283|Italy|2011-01-15]	98.9	0.014705882352941176
260	2	2	[KEXV01043167|Brazil|SaoPaulo|2016-01-15, KEXV01043775|Brazil|SaoPaulo|2016-01-15]	97.1	0.024509803921568627
261	2	2	[KEXV01029715|Brazil|Pernambuco|2015-01-15, KEXV01036852|Brazil|Pernambuco|2016-01-15]	92.8	0.022549019607843137
262	2	2	[KEXV01036707|Brazil|Pernambuco|2016-01-15, KEXV01037392|Brazil|Pernambuco|2017-01-15]	99.7	0.010784313725490196
263	2	2	[MN971880|Brazil|Maranhao|2016-01-15, KEXV01034210|Brazil|Maranhao|2016-01-15]	100.0	0.0
264	2	2	[GQ241093|Spain|2006-01-15, GQ241095|Spain|2006-01-15]	100.0	0.008823529411764706
265	2	2	[AY643215|Brazil|SaoPaulo|2002-01-15, KEXV01043661|Brazil|SaoPaulo|2016-01-15]	99.9	0.0196078431372549
266	2	2	[KEXV01011713|Brazil|SaoPaulo|2015-01-15, MN237406|Brazil|SaoPaulo|2015-01-15]	99.9	0.0
267	2	2	[FJ591451|Brazil|Parana|2005-01-15, FJ591579|Brazil|RioDeJaneiro|2004-01-15]	99.6	0.024509803921568627
268	2	2	[HV0022|Brazil|Bahia|2014-08-26, HV0032|Brazil|Bahia|2014-10-14]	99.8	0.00980392156862745
269	2	2	[KEXV01005224|Brazil|Goias|2014-01-15, KEXV01033885|Brazil|Goias|2016-01-15]	97.3	0.0196078431372549
270	2	2	[KEXV01002607|Brazil|Goias|2015-01-15, KEXV01033798|Brazil|Goias|2016-01-15]	92.7	0.028431372549019607
271	2	2	[MK064385|Germany|2015-01-15, ON989254|Cyprus|2017-01-15]	92.8	0.027450980392156862
272	2	2	[KJ194752|Romania|2012-01-15, KX159005|Romania|2013-01-15]	96.6	0.012745098039215686
273	2	2	[DQ660131|Mozambique|2004-01-15, EU068361|Angola|2001-01-15]	92.9	9.80392156862745E-4
274	2	2	[KX887968|Brazil|Pernambuco|2015-01-15, KX887970|Brazil|Pernambuco|2015-01-15]	92.8	0.025490196078431372
275	2	2	[KEXV01011916|Brazil|SaoPaulo|2015-01-15, MN236826|Brazil|SaoPaulo|2015-01-15]	98.1	0.0
276	2	2	[HQ585028|Brazil|SaoPaulo|2003-01-15, HQ585029|Brazil|SaoPaulo|2007-01-15]	97.2	0.022549019607843137
277	2	2	[KEXV01011521|Brazil|SaoPaulo|2014-01-15, MN236236|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
278	2	2	[KY640146|Brazil|SaoPaulo|2015-01-15, MN237483|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
279	2	2	[KEXV01033772|Brazil|Goias|2016-01-15, MN509146|Brazil|Goias|2014-01-15]	94.8	0.008823529411764706
280	2	2	[KJ194795|Romania|2011-01-15, MH663719|UnitedKingdom|2012-01-15]	92.6	0.01764705882352941
281	2	2	[KT355949|Brazil|Pernambuco|Recife|2009-01-15, KT355951|Brazil|Pernambuco|Recife|2009-01-15]	100.0	0.0029411764705882353
282	2	2	[KEXV01035572|Brazil|MatoGrossoDoSul|2016-01-15, KEXV01035621|Brazil|MatoGrossoDoSul|2017-01-15]	91.1	0.023529411764705882
283	3	3	[KY640019|Brazil|SaoPaulo|2015-01-15, KEXV01011829|Brazil|SaoPaulo|2015-01-15, MN236741|Brazil|SaoPaulo|2015-01-15]	99.9	0.0
284	2	2	[MF403326|Spain|2013-01-15, MF403330|Spain|2013-01-15]	94.7	0.0029411764705882353
285	2	2	[EU068412|Angola|2001-01-15, KF853724|Angola|2009-01-15]	94.0	0.021568627450980392
286	2	2	[MT787920|Italy|2012-01-15, MT788308|Italy|2012-01-15]	99.1	0.0
287	2	2	[KEXV01033465|Brazil|DistritoFederal|2017-01-15, KEXV01036848|Brazil|Pernambuco|2016-01-15]	99.5	0.021568627450980392
288	2	2	[KEXV01011960|Brazil|SaoPaulo|2015-01-15, MN236874|Brazil|SaoPaulo|2015-01-15]	99.4	0.0
289	2	2	[EU293507|Brazil|SaoPaulo|Santos|2006-01-15, HM118103|Brazil|SaoPaulo|Santos|2006-01-15]	99.9	0.004901960784313725
290	2	2	[KY514084|Spain|2014-01-15, MN014548|Spain|2014-01-15]	98.4	0.0058823529411764705
291	4	4	[MT417762|BE|2019-01-15, MT417763|BE|2019-01-15, MT417764|Belgium|2017-01-15, MT417765|Belgium|2017-01-15]	90.3	0.012745098039215686
292	2	2	[MT788128|Italy|2016-01-15, MT788132|Italy|2016-01-15]	100.0	9.80392156862745E-4
293	2	2	[MN971876|Brazil|Maranhao|2016-01-15, KEXV01034262|Brazil|Maranhao|2016-01-15]	100.0	0.0
294	2	2	[KEXV01044448|Brazil|SaoPaulo|2016-01-15, KEXV01046263|Brazil|SaoPaulo|2017-01-15]	100.0	0.00392156862745098
295	3	3	[EU553036|Romania|2003-01-15, EU553130|Romania|2005-01-15, EU553158|Romania|2005-01-15]	100.0	0.011764705882352941
296	3	3	[EU552996|Romania|2003-01-15, EU553087|Romania|2004-01-15, EU553141|Romania|2005-01-15]	99.7	0.022549019607843137
297	3	3	[JQ083054|Romania|2007-01-15, KJ194691|Romania|2011-01-15, KJ194692|Romania|2011-01-15]	99.7	0.01764705882352941
298	2	2	[EU552972|Romania|2003-01-15, EU553020|Romania|2003-01-15]	98.4	0.024509803921568627
299	2	2	[KJ194735|Romania|2012-01-15, KJ194773|Romania|2012-01-15]	94.4	0.004901960784313725
300	2	2	[AB864437|Japan|2012-01-15, KJ194681|Romania|2012-01-15]	99.7	0.016666666666666666
301	3	3	[KEXV01015234|Brazil|SaoPaulo|2014-01-15, KEXV01015504|Brazil|SaoPaulo|2015-01-15, KEXV01044731|Brazil|SaoPaulo|2016-01-15]	100.0	0.018627450980392157
302	2	2	[JQ083071|Romania|2007-01-15, JX300779|Romania|2007-01-15]	99.9	0.0
303	3	3	[EF449399|Greece|2005-01-15, EU822710|Spain|2007-01-15, KC340419|Spain|2009-01-15]	97.5	0.020588235294117647
304	2	2	[KEXV01011714|Brazil|SaoPaulo|2015-01-15, MN236594|Brazil|SaoPaulo|2015-01-15]	99.4	0.0
305	2	2	[AB485658|Romania|1996-01-15, AF447853|Romania|1994-01-15]	100.0	9.80392156862745E-4
306	2	2	[HM191564|Romania|2003-01-15, JQ280931|Romania|2003-01-15]	95.7	0.010784313725490196
307	7	7	[MT570389|UnitedKingdom|2015-01-15, MT570393|UnitedKingdom|2015-01-15, MT570478|UnitedKingdom|2015-01-15, MT571150|UnitedKingdom|2014-01-15, MT571171|UnitedKingdom|2014-01-15, OK583998|Spain|2015-01-15, ON703535|Spain|2015-01-15]	98.7	0.0058823529411764705
308	2	2	[KEXV01011314|Brazil|Piaui|2014-01-15, MN235993|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
309	6	6	[JN010226|Spain|2010-01-15, JN010247|Spain|2010-01-15, KJ883114|Spain|2012-01-15, KU685573|Spain|2015-01-15, KY989955|Spain|2015-01-15, KJ883147|Spain|2010-01-15]	92.3	0.0196078431372549
310	4	4	[JQ083032|Romania|2007-01-15, JX300667|Romania|2007-01-15, JQ083033|Romania|2007-01-15, JX299571|Romania|2007-01-15]	93.0	0.025490196078431372
311	2	2	[JQ083003|Romania|2004-01-15, JQ280925|Romania|2003-01-15]	91.0	0.012745098039215686
312	2	2	[HM191566|Romania|2003-01-15, JQ280938|Romania|2003-01-15]	99.5	0.011764705882352941
313	2	2	[JQ082990|Romania|2003-01-15, JQ280929|Romania|2003-01-15]	99.2	0.00980392156862745
314	3	3	[KJ194817|Romania|2013-01-15, KJ194821|Romania|2013-01-15, KX159004|Romania|2013-01-15]	91.7	0.025490196078431372
315	2	2	[EU553005|Romania|2003-01-15, EU553231|Romania|2006-01-15]	100.0	0.013725490196078431
316	2	2	[AF204039|Romania|1993-01-15, AY901736|UnitedStates|1994-01-15]	91.9	0.013725490196078431
317	3	3	[JN195937|Brazil|SaoPaulo|SaoPaulo|2007-01-15, AY643239|Brazil|SaoPaulo|2003-01-15, KM489116|Brazil|SaoPaulo|SantoAndre|2003-01-15]	100.0	0.023529411764705882
318	3	3	[KY640036|Brazil|SaoPaulo|2015-01-15, KEXV01011945|Brazil|SaoPaulo|2015-01-15, MN236852|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
319	2	2	[HM191559|Romania|2003-01-15, JQ280927|Romania|2003-01-15]	97.5	0.011764705882352941
320	3	3	[EU553057|Romania|2003-01-15, EU553137|Romania|2005-01-15, EU553208|Romania|2006-01-15]	99.7	0.0196078431372549
321	2	2	[EU553003|Romania|2003-01-15, EU553214|Romania|2006-01-15]	100.0	0.0196078431372549
322	2	2	[EU553167|Romania|2005-01-15, EU553251|Romania|2006-01-15]	100.0	0.012745098039215686
323	2	2	[EU552958|Romania|2003-01-15, EU553001|Romania|2003-01-15]	99.6	0.004901960784313725
324	2	2	[EU553197|Romania|2005-01-15, EU553219|Romania|2006-01-15]	99.9	0.024509803921568627
325	2	2	[MF403314|Spain|2011-01-15, MF403321|Spain|2013-01-15]	99.7	0.026470588235294117
326	2	2	[EU553243|Romania|2006-01-15, EU553262|Romania|2007-01-15]	99.4	0.006862745098039216
327	2	2	[EU553226|Romania|2006-01-15, EU553249|Romania|2006-01-15]	99.2	0.00980392156862745
328	2	2	[HM191558|Romania|2003-01-15, JQ082986|Romania|2003-01-15]	99.6	0.004901960784313725
329	31	31	[MK177659|Spain|2015-01-15, MK177660|Spain|2016-01-15, MK177733|Spain|2015-01-15, MK177744|Spain|2015-01-15, MK177747|Spain|2015-01-15, MK177696|Spain|2016-01-15, MK177697|Spain|2017-01-15, MK177701|Spain|2018-01-15, MK177769|Spain|2018-01-15, MK177749|Spain|2016-01-15, MK177752|Spain|2016-01-15, MK177723|Spain|2014-01-15, MK177725|Spain|2014-01-15, MK177737|Spain|2015-01-15, MK177745|Spain|2015-01-15, MK177764|Spain|2018-01-15, MK177770|Spain|2018-01-15, MK177767|Spain|2018-01-15, MK177732|Spain|2015-01-15, MK177735|Spain|2015-01-15, MK177738|Spain|2015-01-15, MK177743|Spain|2015-01-15, MK177748|Spain|2016-01-15, MK177751|Spain|2016-01-15, MK177739|Spain|2015-01-15, MK177757|Spain|2017-01-15, MK177760|Spain|2017-01-15, MK177768|Spain|2018-01-15, MK177763|Spain|2017-01-15, MK177766|Spain|2018-01-15, MK177746|Spain|2016-01-15]	99.2	0.024509803921568627
330	2	2	[KJ883089|Spain|2011-01-15, KT276257|Spain|2014-01-15]	95.2	0.011764705882352941
331	2	2	[KJ883102|Spain|2011-01-15, KJ883117|Spain|2012-01-15]	91.3	0.006862745098039216
332	2	2	[EU553209|Romania|2006-01-15, EU553254|Romania|2006-01-15]	100.0	0.00196078431372549
333	2	2	[EU553021|Romania|2003-01-15, EU553204|Romania|2006-01-15]	99.8	0.008823529411764706
334	2	2	[EU552943|Romania|2005-01-15, EU553222|Romania|2006-01-15]	99.5	0.004901960784313725
335	3	3	[KJ194753|Romania|2012-01-15, KP231376|Romania|2013-01-15, KP231387|Romania|2012-01-15]	94.5	0.0058823529411764705
336	2	2	[KX159014|Romania|2013-01-15, KX159039|Romania|2014-01-15]	92.4	0.029411764705882353
337	5	5	[KM284389|Poland|2012-01-15, MH472321|Germany|2016-01-15, MH472454|Germany|2017-01-15, MT570436|UnitedKingdom|2015-01-15, MK177663|Spain|2014-01-15]	94.5	0.024509803921568627
